0	10
1	2
2	0
3	0
4	1
5	1
6	3
7	7
8	7
9	8
10	5
11	16
12	19
13	19
14	27
15	39
16	40
17	45
18	72
19	113
20	181
21	216
22	305
23	450
24	658
25	957
26	1335
27	1935
28	2886
29	3946
30	4762
31	5380
32	5489
33	5158
34	4699
35	4493
36	4176
37	4014
38	3965
39	3922
40	3769
41	3768
42	3692
43	3515
44	3401
45	3319
46	3207
47	3086
48	3074
49	3066
50	3155
51	3157
52	3148
53	3115
54	3302
55	3270
56	3288
57	3216
58	3374
59	3464
60	3277
61	3275
62	3345
63	3249
64	3281
65	3200
66	3244
67	3165
68	3099
69	3066
70	3058
71	3072
72	3107
73	3070
74	3162
75	3206
76	3320
77	3329
78	3248
79	3379
80	3195
81	3000
82	2865
83	2571
84	2277
85	1928
86	1695
87	1596
88	1382
89	1142
90	1185
91	1078
92	971
93	955
94	901
95	873
96	836
97	793
98	805
99	773
100	740
101	745
102	720
103	736
104	678
105	719
106	666
107	675
108	683
109	653
110	609
111	647
112	667
113	639
114	681
115	686
116	617
117	653
118	596
119	613
120	686
121	634
122	634
123	661
124	650
125	648
126	650
127	659
128	651
129	660
130	652
131	622
132	649
133	652
134	607
135	624
136	618
137	581
138	607
139	622
140	547
141	525
142	556
143	550
144	547
145	486
146	543
147	513
148	447
149	467
150	525
151	478
152	496
153	424
154	420
155	387
156	417
157	426
158	417
159	393
160	389
161	357
162	378
163	371
164	351
165	322
166	263
167	264
168	244
169	230
170	186
171	169
172	188
173	157
174	145
175	139
176	98
177	105
178	107
179	76
180	90
181	77
182	63
183	77
184	63
185	62
186	44
187	57
188	40
189	53
190	38
191	49
192	27
193	34
194	35
195	38
196	30
197	33
198	30
199	22
200	20
201	12
202	26
203	19
204	10
205	13
206	5
207	9
208	9
209	5
210	1
211	6
212	5
213	2
214	6
215	3
216	5
217	2
218	2
219	0
220	3
221	0
222	0
223	1
224	1
225	0
226	0
227	0
228	0
229	1
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	1
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	2
